   8.5608D-01  8.9838D-01
   8.5956D-01  9.0077D-01
   8.6304D-01  9.0312D-01
   8.6652D-01  9.0544D-01
   8.7000D-01  9.0771D-01
   8.7348D-01  9.0995D-01
   8.7696D-01  9.1215D-01
   8.8044D-01  9.1431D-01
   8.8392D-01  9.1643D-01
   8.8740D-01  9.1851D-01
   8.9088D-01  9.2055D-01
   8.9436D-01  9.2255D-01
   8.9784D-01  9.2451D-01
   9.0132D-01  9.2644D-01
   9.0480D-01  9.2832D-01
   9.0828D-01  9.3016D-01
   9.1176D-01  9.3196D-01
   9.1524D-01  9.3372D-01
   9.1872D-01  9.3544D-01
   9.2220D-01  9.3712D-01
   9.2568D-01  9.3875D-01
   9.2916D-01  9.4035D-01
   9.3264D-01  9.4190D-01
   9.3612D-01  9.4342D-01
   9.3960D-01  9.4489D-01
   9.4308D-01  9.4632D-01
   9.4656D-01  9.4770D-01
   9.5004D-01  9.4905D-01
   9.5352D-01  9.5035D-01
   9.5700D-01  9.5161D-01
   9.6048D-01  9.5283D-01
   9.6396D-01  9.5400D-01
   9.6744D-01  9.5514D-01
   9.7092D-01  9.5623D-01
   9.7440D-01  9.5727D-01
   9.7788D-01  9.5827D-01
   9.8136D-01  9.5924D-01
   9.8484D-01  9.6015D-01
   9.8832D-01  9.6103D-01
   9.9180D-01  9.6186D-01
   9.9528D-01  9.6264D-01
   9.9876D-01  9.6338D-01
   1.0022D+00  9.6408D-01
   1.0057D+00  9.6474D-01
   1.0092D+00  9.6535D-01
   1.0127D+00  9.6591D-01
   1.0162D+00  9.6643D-01
   1.0196D+00  9.6691D-01
   1.0231D+00  9.6734D-01
   1.0266D+00  9.6773D-01
   1.0301D+00  9.6808D-01
   1.0336D+00  9.6837D-01
   1.0370D+00  9.6863D-01
   1.0405D+00  9.6884D-01
   1.0440D+00  9.6900D-01
   1.0475D+00  9.6912D-01
   1.0510D+00  9.6920D-01
   1.0544D+00  9.6922D-01
   1.0579D+00  9.6921D-01
   1.0614D+00  9.6915D-01
   1.0649D+00  9.6904D-01
   1.0684D+00  9.6889D-01
   1.0718D+00  9.6869D-01
   1.0753D+00  9.6845D-01
   1.0788D+00  9.6816D-01
   1.0823D+00  9.6782D-01
   1.0858D+00  9.6744D-01
   1.0892D+00  9.6702D-01
   1.0927D+00  9.6655D-01
   1.0962D+00  9.6603D-01
   1.0997D+00  9.6547D-01
   1.1032D+00  9.6486D-01
   1.1066D+00  9.6420D-01
   1.1101D+00  9.6350D-01
   1.1136D+00  9.6275D-01
   1.1171D+00  9.6196D-01
   1.1206D+00  9.6112D-01
   1.1240D+00  9.6024D-01
   1.1275D+00  9.5930D-01
   1.1310D+00  9.5833D-01
   1.1345D+00  9.5730D-01
   1.1380D+00  9.5623D-01
   1.1414D+00  9.5512D-01
   1.1449D+00  9.5396D-01
   1.1484D+00  9.5275D-01
   1.1519D+00  9.5149D-01
   1.1554D+00  9.5019D-01
   1.1588D+00  9.4884D-01
   1.1623D+00  9.4745D-01
   1.1658D+00  9.4601D-01
   1.1693D+00  9.4452D-01
   1.1728D+00  9.4299D-01
   1.1762D+00  9.4141D-01
   1.1797D+00  9.3979D-01
   1.1832D+00  9.3812D-01
   1.1867D+00  9.3640D-01
   1.1902D+00  9.3464D-01
   1.1936D+00  9.3283D-01
   1.1971D+00  9.3097D-01
   1.2006D+00  9.2907D-01
   1.2041D+00  9.2712D-01
   1.2076D+00  9.2513D-01
   1.2110D+00  9.2309D-01
   1.2145D+00  9.2100D-01
   1.2180D+00  9.1886D-01
   1.2215D+00  9.1669D-01
   1.2250D+00  9.1446D-01
   1.2284D+00  9.1219D-01
   1.2319D+00  9.0987D-01
   1.2354D+00  9.0751D-01
   1.2389D+00  9.0510D-01
   1.2424D+00  9.0264D-01
   1.2458D+00  9.0014D-01
   1.2493D+00  8.9760D-01
   1.2528D+00  8.9500D-01
   1.2563D+00  8.9237D-01
   1.2598D+00  8.8968D-01
   1.2632D+00  8.8695D-01
   1.2667D+00  8.8418D-01
   1.2702D+00  8.8135D-01
   1.2737D+00  8.7849D-01
   1.2772D+00  8.7557D-01
   1.2806D+00  8.7262D-01
   1.2841D+00  8.6961D-01
   1.2876D+00  8.6656D-01
   1.2911D+00  8.6347D-01
   1.2946D+00  8.6033D-01
   1.2980D+00  8.5715D-01
   1.3015D+00  8.5392D-01
   1.3050D+00  8.5064D-01
   1.3085D+00  8.4732D-01
   1.3120D+00  8.4396D-01
   1.3154D+00  8.4055D-01
   1.3189D+00  8.3709D-01
